Round Number,Date,Location,Home Team,Away Team,Result
1,13/01/2021 07:00,Rogers Place,Edmonton Oilers,Vancouver Canucks,
1,13/01/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Montréal Canadiens,
1,13/01/2021 22:30,Wells Fargo Center,Philadelphia Flyers,Pittsburgh Penguins,
1,14/01/2021 01:00,Amalie Arena,Tampa Bay Lightning,Chicago Blackhawks,
1,14/01/2021 03:30,Ball Arena,Colorado Avalanche,St. Louis Blues,
1,14/01/2021 06:00,Bridgestone Arena,Nashville Predators,Columbus Blue Jackets,
1,14/01/2021 06:00,Bell MTS Place,Winnipeg Jets,Calgary Flames,
1,14/01/2021 07:00,Rogers Place,Edmonton Oilers,Vancouver Canucks,
1,14/01/2021 07:00,Gila River Arena,Arizona Coyotes,San Jose Sharks,
1,14/01/2021 08:00,KeyBank Center,Buffalo Sabres,Washington Capitals,
1,14/01/2021 08:00,Prudential Center,New Jersey Devils,Boston Bruins,
1,14/01/2021 08:00,Madison Square Garden,New York Rangers,New York Islanders,
1,14/01/2021 08:00,BB&T Center,Florida Panthers,Dallas Stars,
1,14/01/2021 08:00,Little Caesars Arena,Detroit Red Wings,Carolina Hurricanes,
1,14/01/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Anaheim Ducks,
1,14/01/2021 08:00,STAPLES Center,Los Angeles Kings,Minnesota Wild,
1,15/01/2021 07:00,Ball Arena,Colorado Avalanche,St. Louis Blues,
1,15/01/2021 08:00,KeyBank Center,Buffalo Sabres,Washington Capitals,
1,15/01/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Pittsburgh Penguins,
1,15/01/2021 08:00,Amalie Arena,Tampa Bay Lightning,Chicago Blackhawks,
1,15/01/2021 08:00,BB&T Center,Florida Panthers,Dallas Stars,
1,15/01/2021 08:00,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,
1,16/01/2021 06:00,Bridgestone Arena,Nashville Predators,Columbus Blue Jackets,
1,16/01/2021 07:00,Scotiabank Saddledome,Calgary Flames,Vancouver Canucks,
1,16/01/2021 07:00,Rogers Place,Edmonton Oilers,Montréal Canadiens,
1,16/01/2021 07:00,Gila River Arena,Arizona Coyotes,San Jose Sharks,
1,16/01/2021 08:00,Prudential Center,New Jersey Devils,Boston Bruins,
1,16/01/2021 08:00,Madison Square Garden,New York Rangers,New York Islanders,
1,16/01/2021 08:00,Little Caesars Arena,Detroit Red Wings,Carolina Hurricanes,
1,16/01/2021 08:00,Canadian Tire Centre,Ottawa Senators,Toronto Maple Leafs,
1,16/01/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Anaheim Ducks,
1,16/01/2021 08:00,STAPLES Center,Los Angeles Kings,Minnesota Wild,
1,17/01/2021 08:00,Amalie Arena,Tampa Bay Lightning,Dallas Stars,
1,17/01/2021 08:00,BB&T Center,Florida Panthers,Chicago Blackhawks,
1,17/01/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,Washington Capitals,
1,18/01/2021 06:00,Enterprise Center,St. Louis Blues,San Jose Sharks,
1,18/01/2021 06:00,Bridgestone Arena,Nashville Predators,Carolina Hurricanes,
1,18/01/2021 07:00,Scotiabank Saddledome,Calgary Flames,Vancouver Canucks,
1,18/01/2021 07:00,Rogers Place,Edmonton Oilers,Montréal Canadiens,
1,18/01/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,Boston Bruins,
1,18/01/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Buffalo Sabres,
1,18/01/2021 08:00,Little Caesars Arena,Detroit Red Wings,Columbus Blue Jackets,
1,18/01/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Winnipeg Jets,
1,18/01/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Arizona Coyotes,
1,18/01/2021 08:00,Honda Center,Anaheim Ducks,Minnesota Wild,
1,19/01/2021 06:00,Bridgestone Arena,Nashville Predators,Carolina Hurricanes,
1,19/01/2021 08:00,Madison Square Garden,New York Rangers,New Jersey Devils,
1,19/01/2021 08:00,Wells Fargo Center,Philadelphia Flyers,Buffalo Sabres,
1,19/01/2021 08:00,Amalie Arena,Tampa Bay Lightning,Dallas Stars,
1,19/01/2021 08:00,BB&T Center,Florida Panthers,Chicago Blackhawks,
1,19/01/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,Washington Capitals,
1,19/01/2021 08:00,Little Caesars Arena,Detroit Red Wings,Columbus Blue Jackets,
1,19/01/2021 08:00,Canadian Tire Centre,Ottawa Senators,Winnipeg Jets,
1,19/01/2021 08:00,STAPLES Center,Los Angeles Kings,Colorado Avalanche,
2,20/01/2021 06:00,Enterprise Center,St. Louis Blues,San Jose Sharks,
2,20/01/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Edmonton Oilers,
2,20/01/2021 08:00,Rogers Arena,Vancouver Canucks,Montréal Canadiens,
2,20/01/2021 08:00,T-Mobile Arena,Vegas Golden Knights,Arizona Coyotes,
2,20/01/2021 08:00,Honda Center,Anaheim Ducks,Minnesota Wild,
2,21/01/2021 08:00,TD Garden,Boston Bruins,Philadelphia Flyers,
2,21/01/2021 08:00,NYCB Live/Nassau Coliseum,New York Islanders,New Jersey Devils,
2,21/01/2021 08:00,PNC Arena,Carolina Hurricanes,Florida Panthers,
2,21/01/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Tampa Bay Lightning,
2,21/01/2021 08:00,Canadian Tire Centre,Ottawa Senators,Winnipeg Jets,
2,21/01/2021 08:00,Rogers Arena,Vancouver Canucks,Montréal Canadiens,
2,21/01/2021 08:00,STAPLES Center,Los Angeles Kings,Colorado Avalanche,
2,22/01/2021 06:00,United Center,Chicago Blackhawks,Detroit Red Wings,
2,22/01/2021 06:00,Xcel Energy Center,Minnesota Wild,San Jose Sharks,
2,22/01/2021 06:00,American Airlines Center,Dallas Stars,Nashville Predators,
2,22/01/2021 07:00,Gila River Arena,Arizona Coyotes,Vegas Golden Knights,
2,22/01/2021 08:00,Capital One Arena,Washington Capitals,Buffalo Sabres,
2,22/01/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Rangers,
2,22/01/2021 08:00,Scotiabank Arena,Toronto Maple Leafs,Edmonton Oilers,
2,22/01/2021 08:00,Honda Center,Anaheim Ducks,Colorado Avalanche,
2,23/01/2021 06:00,Enterprise Center,St. Louis Blues,Los Angeles Kings,
2,23/01/2021 06:00,Bell MTS Place,Winnipeg Jets,Ottawa Senators,
2,23/01/2021 08:00,TD Garden,Boston Bruins,Philadelphia Flyers,
2,23/01/2021 08:00,PNC Arena,Carolina Hurricanes,Florida Panthers,
2,23/01/2021 08:00,Nationwide Arena,Columbus Blue Jackets,Tampa Bay Lightning,
2,23/01/2021 08:00,Rogers Arena,Vancouver Canucks,Montréal Canadiens,
2,24/01/2021 06:00,United Center,Chicago Blackhawks,Detroit Red Wings,
2,24/01/2021 06:00,Enterprise Center,St. Louis Blues,Los Angeles Kings,
2,24/01/2021 06:00,Bell MTS Place,Winnipeg Jets,Edmonton Oilers,
2,24/01/2021 06:00,Xcel Energy Center,Minnesota Wild,San Jose Sharks,
2,24/01/2021 06:00,American Airlines Center,Dallas Stars,Nashville Predators,
2,24/01/2021 07:00,Scotiabank Saddledome,Calgary Flames,Toronto Maple Leafs,
2,24/01/2021 07:00,Gila River Arena,Arizona Coyotes,Vegas Golden Knights,
2,24/01/2021 08:00,Prudential Center,New Jersey Devils,New York Islanders,
2,24/01/2021 08:00,Capital One Arena,Washington Capitals,Buffalo Sabres,
2,24/01/2021 08:00,PPG Paints Arena,Pittsburgh Penguins,New York Rangers,
2,24/01/2021 08:00,Honda Center,Anaheim Ducks,Colorado Avalanche,
2,25/01/2021 08:00,Rogers Arena,Vancouver Canucks,Ottawa Senators,
2,26/01/2021 06:00,Bridgestone Arena,Nashville Predators,Chicago Blackhawks,
